Frame	TrackID	Confidence
251	21	N/A
251	35	N/A
251	37	N/A
251	39	N/A
251	47	0.38
252	21	N/A
252	35	N/A
252	37	N/A
252	39	N/A
252	47	0.50
253	21	N/A
253	35	N/A
253	37	N/A
253	39	N/A
253	47	N/A
254	21	N/A
254	35	N/A
254	37	N/A
254	39	N/A
254	47	N/A
255	21	N/A
255	35	N/A
255	37	N/A
255	39	N/A
255	47	N/A
256	21	N/A
256	37	N/A
256	39	N/A
256	47	N/A
257	21	N/A
257	37	N/A
257	39	N/A
257	47	N/A
258	21	N/A
258	37	N/A
258	39	N/A
258	47	N/A
259	21	N/A
259	37	N/A
259	39	N/A
259	47	N/A
260	21	N/A
260	37	N/A
260	39	N/A
260	47	N/A
261	21	N/A
261	37	N/A
261	39	N/A
261	47	N/A
262	21	N/A
262	37	N/A
262	39	N/A
262	47	N/A
263	21	N/A
263	37	N/A
263	39	N/A
263	47	N/A
264	21	N/A
264	37	N/A
264	39	N/A
264	47	N/A
265	21	N/A
265	37	N/A
265	39	N/A
265	47	N/A
266	21	N/A
266	37	N/A
266	39	N/A
266	47	N/A
267	21	N/A
267	37	N/A
267	39	N/A
267	47	N/A
268	21	N/A
268	39	N/A
268	47	N/A
269	21	N/A
269	39	N/A
269	47	N/A
270	21	N/A
270	39	N/A
270	47	N/A
271	21	N/A
271	39	N/A
271	47	N/A
272	21	N/A
272	39	N/A
272	47	N/A
273	21	N/A
273	39	N/A
273	47	N/A
274	21	N/A
274	39	N/A
274	47	N/A
275	21	N/A
275	39	N/A
275	47	N/A
276	21	N/A
276	39	N/A
276	47	N/A
276	50	0.71
277	21	N/A
277	39	N/A
277	47	N/A
277	50	N/A
278	21	N/A
278	39	N/A
278	47	N/A
278	50	0.38
279	21	N/A
279	39	N/A
279	47	N/A
279	50	0.38
279	51	0.38
280	21	N/A
280	39	N/A
280	47	N/A
280	50	N/A
280	51	N/A
281	21	N/A
281	39	N/A
281	47	N/A
281	50	N/A
281	51	N/A
282	21	N/A
282	39	N/A
282	47	N/A
282	50	N/A
282	51	N/A
283	21	N/A
283	39	N/A
283	47	N/A
283	50	N/A
283	51	N/A
284	21	N/A
284	39	N/A
284	47	N/A
284	50	N/A
284	51	N/A
285	21	N/A
285	39	N/A
285	47	N/A
285	50	N/A
285	51	N/A
286	21	N/A
286	39	N/A
286	47	N/A
286	50	N/A
286	51	N/A
287	21	N/A
287	39	N/A
287	47	N/A
287	50	N/A
287	51	N/A
288	21	N/A
288	39	N/A
288	47	N/A
288	50	N/A
288	51	N/A
289	21	N/A
289	39	N/A
289	47	N/A
289	50	N/A
289	51	N/A
290	21	N/A
290	47	N/A
290	50	N/A
290	51	N/A
291	21	N/A
291	47	N/A
291	50	N/A
291	51	N/A
292	47	N/A
292	50	N/A
292	51	N/A
293	47	N/A
293	50	N/A
293	51	N/A
294	47	N/A
294	50	N/A
294	51	N/A
295	47	N/A
295	50	N/A
295	51	N/A
296	47	N/A
296	50	N/A
296	51	N/A
297	47	N/A
297	50	N/A
297	51	N/A
298	47	N/A
298	50	N/A
298	51	N/A
299	47	N/A
299	50	N/A
299	51	N/A
300	47	N/A
300	50	N/A
300	51	N/A
301	47	N/A
301	50	N/A
301	51	N/A
302	47	N/A
302	50	N/A
302	51	N/A
303	50	N/A
303	51	N/A
304	50	N/A
304	51	N/A
305	50	N/A
305	51	N/A
306	50	N/A
306	51	N/A
307	50	N/A
307	51	N/A
308	50	N/A
308	51	N/A
309	50	N/A
309	51	N/A
310	50	N/A
310	51	N/A
311	50	N/A
311	51	N/A
312	50	N/A
312	51	N/A
313	50	N/A
313	51	N/A
314	50	N/A
314	51	N/A
315	50	N/A
315	51	N/A
316	50	N/A
316	51	N/A
317	50	N/A
317	51	N/A
318	50	N/A
318	51	N/A
319	50	N/A
319	51	N/A
320	50	N/A
320	51	N/A
321	50	N/A
321	51	N/A
322	50	N/A
322	51	N/A
323	50	N/A
323	51	N/A
324	50	N/A
324	51	N/A
325	50	N/A
325	51	N/A
326	50	N/A
326	51	N/A
327	51	N/A
327	55	0.48
328	51	N/A
328	55	N/A
329	51	N/A
329	55	N/A
330	55	N/A
331	55	N/A
332	55	N/A
333	55	N/A
334	55	N/A
335	55	N/A
336	55	N/A
337	55	N/A
338	55	N/A
339	55	N/A
340	55	N/A
341	55	N/A
342	55	N/A
343	55	N/A
344	55	N/A
345	55	N/A
346	55	N/A
347	55	N/A
348	55	N/A
349	55	N/A
350	55	N/A
351	55	N/A
352	55	N/A
353	55	N/A
354	55	N/A
355	55	N/A
356	55	N/A
357	55	N/A
358	55	N/A
359	55	N/A
360	55	N/A
361	55	N/A
362	55	N/A
363	55	N/A
364	55	N/A
365	55	N/A
366	55	N/A
367	55	N/A
368	55	N/A
369	55	N/A
370	55	N/A
371	55	N/A
372	55	N/A
373	55	N/A
374	55	N/A
375	55	N/A
